stim_id,gpt3 ppl
25,"{""id"": ""cmpl-64wmXhbuDBig2Fct2JEHHCa4OGq3n"", ""object"": ""text_completion"", ""created"": 1666637289, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""@rickysnecklace I'm so proud Mils! Keep smiling"", ""index"": 0, ""logprobs"": {""tokens"": [""@"", ""rick"", ""ys"", ""neck"", ""lace"", "" I"", ""'m"", "" so"", "" proud"", "" Mil"", ""s"", ""!"", "" Keep"", "" smiling""], ""token_logprobs"": [null, -12.997931, -4.7280297, -12.154026, -1.921919, -4.828189, -2.1252184, -2.367855, -4.2280116, -16.392555, -6.4351444, -2.2220094, -4.8302417, -5.280249], ""top_logprobs"": [null, {""Override"": -1.8467852}, {""y"": -2.7666664}, {""h"": -3.0834074}, {""."": -1.6892058}, {""\n"": -1.3718872}, {""'m"": -2.1252184}, {"" sorry"": -2.0246067}, {"" sorry"": -0.43579015}, {"" of"": -0.11602713}, {""a"": -0.2874827}, {"" is"": -2.1545658}, {"" \u2014"": -2.0767329}, {"" up"": -1.0770371}], ""text_offset"": [0, 1, 5, 7, 11, 15, 17, 19, 22, 28, 32, 33, 34, 39]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 14, ""total_tokens"": 14}}"
26,"{""id"": ""cmpl-64wmYXDPTUCMwv0vhhHaUrBsH1GYY"", ""object"": ""text_completion"", ""created"": 1666637290, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""Candid and comfortable; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work."", ""index"": 0, ""logprobs"": {""tokens"": [""Cand"", ""id"", "" and"", "" comfortable"", "";"", "" a"", "" film"", "" that"", "" deft"", ""ly"", "" balances"", "" action"", "" and"", "" reflection"", "" as"", "" it"", "" lets"", "" you"", "" grasp"", "" and"", "" feel"", "" the"", "" passion"", "" others"", "" have"", "" for"", "" their"", "" work"", "".""], ""token_logprobs"": [null, -3.0673368, -6.2542214, -6.6006436, -5.9036455, -2.8835008, -7.673693, -1.3620687, -8.489549, -0.0019001075, -2.8844666, -7.4808335, -0.712075, -5.0478315, -4.203792, -0.5821565, -7.803244, -2.4856353, -9.212579, -4.331487, -2.8133457, -0.6097881, -5.5043755, -10.98033, -0.522065, -0.12482192, -1.0419043, -2.3229508, -0.469775], ""top_logprobs"": [null, {""idate"": -0.736882}, {""ato"": -1.424805}, {"" funny"": -3.6857696}, {"","": -1.592625}, {"" that"": -2.6355019}, {"" perfect"": -2.2122638}, {"" about"": -1.1186862}, {"" will"": -2.5873625}, {""ly"": -0.0019001075}, {"" captures"": -1.4873089}, {"" the"": -1.3480383}, {"" and"": -0.712075}, {"" emotion"": -1.4553132}, {""."": -1.1409161}, {"" it"": -0.5821565}, {"" follows"": -2.1552234}, {"" us"": -1.2249522}, {"" into"": -1.3972962}, {"" the"": -0.62926143}, {"" appreciate"": -2.2958763}, {"" the"": -0.6097881}, {"" human"": -3.4717484}, {"" of"": -0.90501696}, {"" have"": -0.522065}, {"" for"": -0.12482192}, {"" their"": -1.0419043}, {"" craft"": -2.083792}, {""."": -0.469775}], ""text_offset"": [0, 4, 6, 10, 22, 23, 25, 30, 35, 40, 42, 51, 58, 62, 73, 76, 79, 84, 88, 94, 98, 103, 107, 115, 122, 127, 131, 137, 142]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 29, ""total_tokens"": 29}}"
27,"{""id"": ""cmpl-64wmYhaGGmpLFPIybZFDtkoLG4ymO"", ""object"": ""text_completion"", ""created"": 1666637290, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""Few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands."", ""index"": 0, ""logprobs"": {""tokens"": [""Few"", "" films"", "" capture"", "" so"", "" perfectly"", "" the"", "" hopes"", "" and"", "" dreams"", "" of"", "" little"", "" boys"", "" on"", "" baseball"", "" fields"", "" as"", "" well"", "" as"", "" the"", "" grown"", "" men"", "" who"", "" sit"", "" in"", "" the"", "" stands"", "".""], ""token_logprobs"": [null, -8.468999, -4.5876913, -4.6899295, -2.026198, -0.28308967, -7.7071433, -0.4212121, -0.5925669, -0.20428805, -7.438008, -3.3905394, -5.4964952, -7.0140076, -2.1680784, -2.7034872, -3.062639, -0.025157433, -0.7222216, -6.5076566, -1.2216737, -0.45972583, -6.454418, -0.50266755, -0.65747863, -0.29273129, -1.7361555], ""top_logprobs"": [null, {"" things"": -2.7500782}, {"" have"": -1.5407182}, {"" the"": -0.27929318}, {"" much"": -1.8890882}, {"" the"": -0.28308967}, {"" feeling"": -3.0048485}, {"" and"": -0.4212121}, {"" dreams"": -0.5925669}, {"" of"": -0.20428805}, {"" a"": -1.1316036}, {"" girls"": -0.24101956}, {"" as"": -1.7604408}, {"" the"": -0.613468}, {"" teams"": -1.0628214}, {"" across"": -1.4022101}, {"" The"": -1.665873}, {"" as"": -0.025157433}, {"" the"": -0.7222216}, {"" reality"": -3.547648}, {""-"": -0.7207477}, {"" who"": -0.45972583}, {"" never"": -2.0640912}, {"" in"": -0.50266755}, {"" the"": -0.65747863}, {"" stands"": -0.29273129}, {"" and"": -1.3290509}], ""text_offset"": [0, 3, 9, 17, 20, 30, 34, 40, 44, 51, 54, 61, 66, 69, 78, 85, 88, 93, 96, 100, 106, 110, 114, 118, 121, 125, 132]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 27, ""total_tokens"": 27}}"
28,"{""id"": ""cmpl-64wmZJ2bGVXdlxmke4splOPqmqb3U"", ""object"": ""text_completion"", ""created"": 1666637291, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""The fly-on-the-wall method used to document rural French school life is a refreshing departure from the now more prevalent technique of the docu-makers being a visible part of their work."", ""index"": 0, ""logprobs"": {""tokens"": [""The"", "" fly"", ""-"", ""on"", ""-"", ""the"", ""-"", ""wall"", "" method"", "" used"", "" to"", "" document"", "" rural"", "" French"", "" school"", "" life"", "" is"", "" a"", "" refreshing"", "" departure"", "" from"", "" the"", "" now"", "" more"", "" prevalent"", "" technique"", "" of"", "" the"", "" doc"", ""u"", ""-"", ""makers"", "" being"", "" a"", "" visible"", "" part"", "" of"", "" their"", "" work"", "".""], ""token_logprobs"": [null, -10.210708, -2.2026157, -2.3594258, -0.007364964, -0.007877324, -0.020910496, -0.029678868, -7.862358, -4.923683, -1.528506, -3.8526268, -10.200237, -7.7699018, -4.6756706, -2.23139, -1.9810233, -2.7072182, -3.310205, -2.486143, -0.055115994, -0.3072967, -7.106361, -6.2412066, -4.936246, -5.2874827, -0.119239695, -3.0115254, -5.3376255, -0.6988192, -0.04846413, -8.57859, -4.6268134, -2.9704905, -2.4338925, -1.4461081, -0.009653241, -1.7577155, -3.2653522, -0.2805676], ""top_logprobs"": [null, {"" first"": -4.199688}, {""-"": -2.2026157}, {""by"": -1.4621296}, {""-"": -0.007364964}, {""the"": -0.007877324}, {""-"": -0.020910496}, {""wall"": -0.029678868}, {"" documentary"": -1.3811588}, {"" of"": -1.2619056}, {"" in"": -1.1154133}, {"" be"": -2.3386343}, {"" the"": -0.6937729}, {"" life"": -1.801285}, {"" life"": -0.7040134}, {""children"": -0.5645169}, {"" in"": -1.4660653}, {"" a"": -2.7072182}, {"" great"": -3.034318}, {"" change"": -0.8691092}, {"" from"": -0.055115994}, {"" the"": -0.3072967}, {"" usual"": -1.984256}, {""-"": -1.1332045}, {"" common"": -1.2488904}, {"" \"""": -2.8537405}, {"" of"": -0.119239695}, {"" interviewing"": -2.5781372}, {"" interview"": -2.2246192}, {""u"": -0.6988192}, {""-"": -0.04846413}, {""d"": -1.1596892}, {"" who"": -1.9848454}, {"" present"": -2.4186032}, {"" part"": -1.5620979}, {"" presence"": -0.7945694}, {"" of"": -0.009653241}, {"" the"": -0.28289253}, {"" subject"": -1.4042192}, {""."": -0.2805676}], ""text_offset"": [0, 3, 7, 8, 10, 11, 14, 15, 19, 26, 31, 34, 43, 49, 56, 63, 68, 71, 73, 84, 94, 99, 103, 107, 112, 122, 132, 135, 139, 143, 144, 145, 151, 157, 159, 167, 172, 175, 181, 186]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 40, ""total_tokens"": 40}}"
29,"{""id"": ""cmpl-64wmalTLA7l8tH2OyULezEGSp7b2D"", ""object"": ""text_completion"", ""created"": 1666637292, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""The movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that's all too rare in Hollywood's hastier productions."", ""index"": 0, ""logprobs"": {""tokens"": [""The"", "" movie"", "" is"", "" beautiful"", "" to"", "" behold"", "" and"", "" engages"", "" one"", "" in"", "" a"", "" sense"", "" of"", "" epic"", "" struggle"", "" --"", "" inner"", "" and"", "" outer"", "" --"", "" that"", ""'s"", "" all"", "" too"", "" rare"", "" in"", "" Hollywood"", ""'s"", "" hast"", ""ier"", "" productions"", "".""], ""token_logprobs"": [null, -7.084351, -1.7814958, -6.5300746, -3.166591, -4.5417943, -2.0446067, -9.288437, -4.0234265, -2.6574895, -1.2303005, -4.8381643, -0.04197276, -7.840795, -4.9731574, -6.205724, -10.904585, -0.38647562, -0.06435312, -1.0283806, -1.3189657, -3.4926255, -3.6134531, -0.35859007, -0.38850534, -0.7115316, -4.864935, -2.9235787, -11.352189, -1.5219163, -1.4402318, -0.32319182], ""top_logprobs"": [null, {"" first"": -4.1994643}, {"" is"": -1.7814958}, {"" set"": -2.1787236}, {"","": -1.0653636}, {"" look"": -0.5004819}, {"","": -0.8240104}, {"" the"": -1.9229077}, {"" the"": -0.6653553}, {""bytes:\\xe2\\x80"": -1.2157649}, {"" a"": -1.2303005}, {"" way"": -2.39909}, {"" of"": -0.04197276}, {"" wonder"": -1.7261915}, {"" wonder"": -2.490272}, {""."": -1.3790573}, {"" but"": -2.1635835}, {"" and"": -0.38647562}, {"" outer"": -0.06435312}, {""."": -0.87273234}, {"" that"": -1.3189657}, {"" is"": -0.96683085}, {"" hard"": -2.519331}, {"" too"": -0.35859007}, {"" rare"": -0.38850534}, {"" in"": -0.7115316}, {"" today"": -1.6115711}, {"" films"": -1.7943847}, {"" current"": -1.8493673}, {""ening"": -1.434465}, {"" productions"": -1.4402318}, {""."": -0.32319182}], ""text_offset"": [0, 3, 9, 12, 22, 25, 32, 36, 44, 48, 51, 53, 59, 62, 67, 76, 79, 85, 89, 95, 98, 103, 105, 109, 113, 118, 121, 131, 133, 138, 141, 153]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 32, ""total_tokens"": 32}}"
30,"{""id"": ""cmpl-64wmcfxZAZKyFf2iflEdeQJLWNEnX"", ""object"": ""text_completion"", ""created"": 1666637294, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""@chasejarvis Honestly, been hearing this over and over again...it's kinda imprinted on my mind now. Thanks! #Strategy"", ""index"": 0, ""logprobs"": {""tokens"": [""@"", ""ch"", ""ase"", ""jar"", ""vis"", "" Honestly"", "","", "" been"", "" hearing"", "" this"", "" over"", "" and"", "" over"", "" again"", ""..."", ""it"", ""'s"", "" kinda"", "" imprint"", ""ed"", "" on"", "" my"", "" mind"", "" now"", ""."", "" Thanks"", ""!"", "" #"", ""Str"", ""ategy""], ""token_logprobs"": [null, -7.360431, -5.8226566, -7.279936, -0.135716, -11.755271, -0.6294047, -9.32816, -6.005491, -2.448662, -5.43249, -0.20875171, -0.0032346295, -1.680884, -4.9648767, -4.9008803, -0.9406036, -5.8473673, -13.768742, -0.080980584, -1.3975277, -0.35721797, -2.9460778, -1.1678548, -0.80807966, -5.063971, -1.6990875, -4.2423964, -11.418592, -1.2284046], ""top_logprobs"": [null, {""Override"": -1.8470038}, {""ars"": -1.9710685}, {""."": -0.91497433}, {""vis"": -0.135716}, {""."": -1.5621338}, {"","": -0.6294047}, {"" I"": -0.69166243}, {"" thinking"": -2.2169802}, {"" a"": -1.9369538}, {"" for"": -1.1918619}, {"" and"": -0.20875171}, {"" over"": -0.0032346295}, {""."": -1.6776447}, {""."": -1.2592344}, {"" I"": -2.5426977}, {""'s"": -0.9406036}, {"" not"": -2.0783846}, {"" like"": -1.3358176}, {""ed"": -0.080980584}, {"" in"": -0.66757864}, {"" my"": -0.35721797}, {"" brain"": -0.21377422}, {"" now"": -1.1678548}, {""."": -0.80807966}, {""\n"": -1.6729615}, {"" for"": -1.1313022}, {""\n"": -0.61399204}, {""C"": -1.1756972}, {""ategy"": -1.2284046}], ""text_offset"": [0, 1, 3, 6, 9, 12, 21, 22, 27, 35, 40, 45, 49, 54, 60, 63, 65, 67, 73, 81, 83, 86, 89, 94, 98, 99, 106, 107, 109, 112]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 30, ""total_tokens"": 30}}"
31,"{""id"": ""cmpl-64wmcGZzCeuD2gZbO6IhtZ3rnvvrY"", ""object"": ""text_completion"", ""created"": 1666637294, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""Sometimes, you just need to eat a delicious piece of chocolate to remind yourself that there's no need to be bitter. Sweetness redeems."", ""index"": 0, ""logprobs"": {""tokens"": [""Sometimes"", "","", "" you"", "" just"", "" need"", "" to"", "" eat"", "" a"", "" delicious"", "" piece"", "" of"", "" chocolate"", "" to"", "" remind"", "" yourself"", "" that"", "" there"", ""'s"", "" no"", "" need"", "" to"", "" be"", "" bitter"", ""."", "" Sweet"", ""ness"", "" rede"", ""ems"", "".""], ""token_logprobs"": [null, -1.5780343, -2.562622, -1.4993148, -0.77689856, -0.7352675, -5.634883, -1.7523392, -4.6502743, -4.0024137, -0.004618542, -2.7175431, -2.6105936, -3.6059809, -0.50756365, -0.41720444, -2.959214, -2.1943915, -4.424219, -1.3152335, -0.083090246, -1.2866248, -4.225184, -1.0020825, -5.8098025, -3.0234742, -10.12127, -0.00019511623, -1.533795], ""top_logprobs"": [null, {"","": -1.5780343}, {"" the"": -2.3081713}, {"" just"": -1.4993148}, {"" need"": -0.77689856}, {"" to"": -0.7352675}, {"" get"": -2.5530188}, {"" a"": -1.7523392}, {"" burger"": -2.0113487}, {"","": -2.2151666}, {"" of"": -0.004618542}, {"" cake"": -1.081592}, {""."": -0.72888976}, {"" make"": -1.5515165}, {"" yourself"": -0.50756365}, {"" that"": -0.41720444}, {"" everything"": -1.3226271}, {"" are"": -0.9434979}, {"" still"": -0.57570326}, {"" need"": -1.3152335}, {"" to"": -0.083090246}, {"" be"": -1.2866248}, {"" ashamed"": -1.899}, {""."": -1.0020825}, {""\n"": -1.085351}, {""en"": -0.48650825}, {"" is"": -0.84352404}, {""ems"": -0.00019511623}, {""."": -1.533795}], ""text_offset"": [0, 9, 10, 14, 19, 24, 27, 31, 33, 43, 49, 52, 62, 65, 72, 81, 86, 92, 94, 97, 102, 105, 108, 115, 116, 122, 126, 131, 134]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 29, ""total_tokens"": 29}}"
32,"{""id"": ""cmpl-64wmcWZaLuAIKbZe7JK7tZFTsBi8D"", ""object"": ""text_completion"", ""created"": 1666637294, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""Let me no longer languish in #pain, but look forward with #joy to all I have been gifted to achieve in my life.' ~ #Eleesha\u00a0 #quote"", ""index"": 0, ""logprobs"": {""tokens"": [""Let"", "" me"", "" no"", "" longer"", "" langu"", ""ish"", "" in"", "" #"", ""pain"", "","", "" but"", "" look"", "" forward"", "" with"", "" #"", ""joy"", "" to"", "" all"", "" I"", "" have"", "" been"", "" gifted"", "" to"", "" achieve"", "" in"", "" my"", "" life"", "".'"", "" ~"", "" #"", ""Ele"", ""es"", ""ha"", ""\u00a0"", "" #"", ""quote""], ""token_logprobs"": [null, -1.4193193, -9.320229, -1.6834234, -8.308534, -0.02102231, -1.1588551, -11.036356, -4.066539, -1.8383534, -3.1109173, -5.736758, -2.610888, -2.2726526, -1.3582649, -1.668529, -0.6529466, -4.304753, -3.6832156, -1.9855167, -5.097277, -7.6931, -2.8157003, -3.304668, -2.3633685, -1.697564, -0.63438666, -6.246958, -6.0357065, -1.7653536, -9.917545, -4.074032, -0.007472992, -12.293736, -3.3406453, -3.0718923], ""top_logprobs"": [null, {"" me"": -1.4193193}, {"" know"": -1.6966391}, {"" longer"": -1.6834234}, {"" be"": -1.8032745}, {""ish"": -0.02102231}, {"" in"": -1.1588551}, {"" my"": -1.7711092}, {""des"": -2.726826}, {""\n"": -1.5268574}, {""\n"": -1.725087}, {"" let"": -1.8862199}, {"" to"": -1.0058188}, {"" to"": -0.22013378}, {"" hope"": -0.86207104}, {""h"": -0.9967391}, {"" to"": -0.6529466}, {"" the"": -0.79119295}, {"" the"": -0.8276435}, {"" will"": -1.2278998}, {"" yet"": -0.7355535}, {"" promised"": -1.0177346}, {""."": -1.2629093}, {"" #"": -1.3967617}, {""."": -0.6833378}, {"" this"": -1.5065277}, {"" life"": -0.63438666}, {""."": -0.34280092}, {""\n"": -0.70161176}, {"" #"": -1.7653536}, {""N"": -3.3934963}, {""phant"": -0.94836426}, {""ha"": -0.007472992}, {""\n"": -0.80335474}, {""\n"": -0.809053}, {""W"": -1.9592062}], ""text_offset"": [0, 3, 6, 9, 16, 22, 25, 28, 30, 34, 35, 39, 44, 52, 57, 59, 62, 65, 69, 71, 76, 81, 88, 91, 99, 102, 105, 110, 112, 114, 116, 119, 121, 123, 124, 126]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 36, ""total_tokens"": 36}}"
33,"{""id"": ""cmpl-64wmdcmIn5UwiQO7wStk7ojlJhf3w"", ""object"": ""text_completion"", ""created"": 1666637295, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""A densely constructed, highly referential film, and an audacious return to form that can comfortably sit among Jean-Luc Godard's finest work."", ""index"": 0, ""logprobs"": {""tokens"": [""A"", "" densely"", "" constructed"", "","", "" highly"", "" refere"", ""nt"", ""ial"", "" film"", "","", "" and"", "" an"", "" aud"", ""acious"", "" return"", "" to"", "" form"", "" that"", "" can"", "" comfortably"", "" sit"", "" among"", "" Jean"", ""-"", ""Luc"", "" God"", ""ard"", ""'s"", "" finest"", "" work"", "".""], ""token_logprobs"": [null, -13.36883, -6.3611636, -2.1192803, -4.0762825, -9.326477, -0.0011990821, -0.0040312796, -4.2526875, -1.3077298, -5.0403876, -3.079104, -4.2797937, -0.15799883, -5.598167, -0.270546, -0.7930276, -5.6076474, -5.652217, -6.8314047, -1.4404119, -4.4179378, -8.243739, -0.04898519, -0.8043846, -0.015812578, -0.0023976257, -0.7774735, -2.3763256, -1.4562382, -1.5133862], ""top_logprobs"": [null, {""pi"": -1.9720907}, {"" packed"": -1.7090865}, {"","": -2.1192803}, {"" well"": -4.0202284}, {"" detailed"": -2.3213024}, {""nt"": -0.0011990821}, {""ial"": -0.0040312796}, {"","": -1.4022311}, {"","": -1.3077298}, {"" The"": -2.5443335}, {"" a"": -1.3053473}, {"" intriguing"": -3.2462158}, {""acious"": -0.15799883}, {"" one"": -1.5586268}, {"" to"": -0.270546}, {"" form"": -0.7930276}, {"" for"": -0.5707011}, {"" will"": -2.6434135}, {"" only"": -1.49297}, {"" sit"": -1.4404119}, {"" alongside"": -0.18688463}, {"" the"": -1.2391773}, {""-"": -0.04898519}, {""Pierre"": -0.7502645}, {"" God"": -0.015812578}, {""ard"": -0.0023976257}, {""bytes:\\xe2\\x80"": -0.65488434}, {"" best"": -1.0111513}, {"" works"": -1.173529}, {"".\"""": -0.73460436}], ""text_offset"": [0, 1, 9, 21, 22, 29, 36, 38, 41, 46, 47, 51, 54, 58, 64, 71, 74, 79, 84, 88, 100, 104, 110, 115, 116, 119, 123, 126, 128, 135, 140]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 31, ""total_tokens"": 31}}"
34,"{""id"": ""cmpl-64wmdi5vBzTRoQasnUFlXTK2INdhC"", ""object"": ""text_completion"", ""created"": 1666637295, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""@RickHoffman_ And we are all so grateful for your perseverance! Happy Anniversary twin!"", ""index"": 0, ""logprobs"": {""tokens"": [""@"", ""Rick"", ""H"", ""off"", ""man"", ""_"", "" And"", "" we"", "" are"", "" all"", "" so"", "" grateful"", "" for"", "" your"", "" persever"", ""ance"", ""!"", "" Happy"", "" Anniversary"", "" twin"", ""!""], ""token_logprobs"": [null, -13.70668, -3.5595627, -5.007222, -0.08153914, -0.48035204, -12.711091, -3.712579, -2.471222, -2.6448987, -3.1309357, -2.6477447, -1.1464944, -1.1771493, -8.770747, -0.0025720445, -2.65103, -7.2588243, -5.712117, -13.356822, -2.3356948], ""top_logprobs"": [null, {""Override"": -1.8470038}, {""S"": -2.5883162}, {""arrison"": -1.1192422}, {""man"": -0.08153914}, {""_"": -0.48035204}, {""\n"": -0.5476743}, {"" I"": -2.4087148}, {""'re"": -1.6629485}, {"" back"": -2.5224223}, {"" better"": -2.8123946}, {"" much"": -2.235373}, {"" to"": -1.1198611}, {"" your"": -1.1771493}, {"" talent"": -3.1952894}, {""ance"": -0.0025720445}, {"" and"": -1.2110847}, {""\n"": -1.6834316}, {"" Birthday"": -2.0649824}, {""!"": -0.9291048}, {""!"": -2.3356948}], ""text_offset"": [0, 1, 5, 6, 9, 12, 13, 17, 20, 24, 28, 31, 40, 44, 49, 58, 62, 63, 69, 81, 86]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 21, ""total_tokens"": 21}}"
35,"{""id"": ""cmpl-64wme2WhSz9GrWO9RAX5pj2xZeWiu"", ""object"": ""text_completion"", ""created"": 1666637296, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""Nothing makes me happier than managing my depression well."", ""index"": 0, ""logprobs"": {""tokens"": [""Nothing"", "" makes"", "" me"", "" happier"", "" than"", "" managing"", "" my"", "" depression"", "" well"", "".""], ""token_logprobs"": [null, -5.975823, -1.0280352, -1.4280287, -0.094591506, -9.446805, -3.0835361, -6.700647, -6.25637, -1.0526717], ""top_logprobs"": [null, {"" is"": -2.9303672}, {"" me"": -1.0280352}, {"" feel"": -1.1831576}, {"" than"": -0.094591506}, {"" a"": -2.3202033}, {"" to"": -0.33759752}, {"" own"": -1.538551}, {"" with"": -1.7953148}, {""."": -1.0526717}], ""text_offset"": [0, 7, 13, 16, 24, 29, 38, 41, 52, 57]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 10, ""total_tokens"": 10}}"
36,"{""id"": ""cmpl-64wmeLTfzbczCrimcUoZS1wV79Uvb"", ""object"": ""text_completion"", ""created"": 1666637296, ""model"": ""text-davinci-002"", ""choices"": [{""text"": ""I am really flattered and happy to hear those complements for my blog! You guys motivates me to write more for my blog. Thank you! sml\u00a0"", ""index"": 0, ""logprobs"": {""tokens"": [""I"", "" am"", "" really"", "" flat"", ""tered"", "" and"", "" happy"", "" to"", "" hear"", "" those"", "" comple"", ""ments"", "" for"", "" my"", "" blog"", ""!"", "" You"", "" guys"", "" motiv"", ""ates"", "" me"", "" to"", "" write"", "" more"", "" for"", "" my"", "" blog"", ""."", "" Thank"", "" you"", ""!"", "" sm"", ""l"", ""\u00a0""], ""token_logprobs"": [null, -2.7662787, -5.43816, -8.721272, -0.0010178615, -2.8751328, -4.03374, -1.399684, -2.3910363, -6.0572457, -9.831733, -0.0010108217, -5.8923206, -0.68999976, -3.334076, -3.0210817, -4.138188, -1.9158409, -8.556877, -0.107765935, -0.021532172, -0.32466477, -1.6011276, -0.27938104, -4.924099, -1.5665591, -0.11832454, -1.1804423, -2.063355, -0.0429774, -1.4598668, -13.684945, -5.763484, -13.88067], ""top_logprobs"": [null, {""'m"": -1.5293891}, {"" a"": -2.3426697}, {"" sorry"": -1.9031148}, {""tered"": -0.0010178615}, {"" that"": -1.2804091}, {"" honored"": -2.04126}, {"" that"": -0.8863792}, {"" be"": -0.9864408}, {"" that"": -0.46000934}, {"" words"": -1.2129087}, {""ments"": -0.0010108217}, {""."": -1.0108504}, {"" my"": -0.68999976}, {"" work"": -1.1944295}, {""."": -0.60288084}, {"" Thank"": -1.360165}, {"" are"": -1.2930068}, {"" are"": -0.51212305}, {""ates"": -0.107765935}, {"" me"": -0.021532172}, {"" to"": -0.32466477}, {"" keep"": -1.1879215}, {"" more"": -0.27938104}, {"" and"": -1.2673951}, {"" you"": -1.1186832}, {"" blog"": -0.11832454}, {""."": -1.1804423}, {""\n"": -1.5425439}, {"" you"": -0.0429774}, {"" so"": -0.9757568}, {""\n"": -0.6264221}, {""o"": -0.9124521}, {""\n"": -1.2850965}], ""text_offset"": [0, 1, 4, 11, 16, 21, 25, 31, 34, 39, 45, 52, 57, 61, 64, 69, 70, 74, 79, 85, 89, 92, 95, 101, 106, 110, 113, 118, 119, 125, 129, 130, 133, 134]}, ""finish_reason"": ""length""}], ""usage"": {""prompt_tokens"": 34, ""total_tokens"": 34}}"
